Batch,Rolls,From,To,Posting,Location
A,1-38,2026-09-07,2026-09-27,Medicine,"CH(SC), AICTS & MH (Kirkee)"
B,39-76,2026-09-28,2026-10-18,Medicine,"CH(SC), AICTS & MH (Kirkee)"
C,77-114,2026-10-19,2026-11-08,Medicine,"CH(SC), AICTS & MH (Kirkee)"
D,115+,2026-11-09,2026-11-29,Medicine,"CH(SC), AICTS & MH (Kirkee)"
A,1-38,2026-11-30,2026-12-06,Medicine,"CH(SC), AICTS & MH (Kirkee)"
B,39-76,2026-12-07,2026-12-13,Medicine,"CH(SC), AICTS & MH (Kirkee)"
C,77-114,2026-12-14,2026-12-20,Medicine,"CH(SC), AICTS & MH (Kirkee)"
D,115+,2026-12-21,2026-12-27,Medicine,"CH(SC), AICTS & MH (Kirkee)"
A,1-38,2026-09-28,2026-10-18,Surgery,"CH(SC), AICTS & MH (Kirkee)"
B,39-76,2026-10-19,2026-11-08,Surgery,"CH(SC), AICTS & MH (Kirkee)"
C,77-114,2026-11-09,2026-11-29,Surgery,"CH(SC), AICTS & MH (Kirkee)"
D,115+,2026-09-07,2026-09-27,Surgery,"CH(SC), AICTS & MH (Kirkee)"
A,1-38,2026-10-19,2026-11-08,Obstetrics & Gynaecology,"CH(SC), AICTS & MH (Kirkee)"
B,39-76,2026-11-09,2026-11-29,Obstetrics & Gynaecology,"CH(SC), AICTS & MH (Kirkee)"
C,77-114,2026-09-07,2026-09-27,Obstetrics & Gynaecology,"CH(SC), AICTS & MH (Kirkee)"
D,115+,2026-09-28,2026-10-18,Obstetrics & Gynaecology,"CH(SC), AICTS & MH (Kirkee)"
A,1-38,2026-11-09,2026-11-29,Paediatrics,"CH(SC), AICTS & MH (Kirkee)"
B,39-76,2026-09-07,2026-09-27,Paediatrics,"CH(SC), AICTS & MH (Kirkee)"
C,77-114,2026-09-28,2026-10-18,Paediatrics,"CH(SC), AICTS & MH (Kirkee)"
D,115+,2026-10-19,2026-11-08,Paediatrics,"CH(SC), AICTS & MH (Kirkee)"
A,1-38,2026-12-07,2026-12-13,Orthopaedics,"CH(SC), AICTS & MH (Kirkee)"
B,39-76,2026-12-14,2026-12-20,Orthopaedics,"CH(SC), AICTS & MH (Kirkee)"
C,77-114,2026-12-21,2026-12-27,Orthopaedics,"CH(SC), AICTS & MH (Kirkee)"
D,115+,2026-11-30,2026-12-06,Orthopaedics,"CH(SC), AICTS & MH (Kirkee)"
A,1-38,2026-12-14,2026-12-20,ENT,"CH(SC), AICTS & MH (Kirkee)"
B,39-76,2026-12-21,2026-12-27,ENT,"CH(SC), AICTS & MH (Kirkee)"
C,77-114,2026-11-30,2026-12-06,ENT,"CH(SC), AICTS & MH (Kirkee)"
D,115+,2026-12-07,2026-12-13,ENT,"CH(SC), AICTS & MH (Kirkee)"
A,1-38,2026-12-21,2026-12-27,Ophthalmology,"CH(SC), AICTS & MH (Kirkee)"
B,39-76,2026-11-30,2026-12-06,Ophthalmology,"CH(SC), AICTS & MH (Kirkee)"
C,77-114,2026-12-07,2026-12-13,Ophthalmology,"CH(SC), AICTS & MH (Kirkee)"
D,115+,2026-12-14,2026-12-20,Ophthalmology,"CH(SC), AICTS & MH (Kirkee)"
A,1-38,2026-12-28,2027-01-03,Psychiatry,"CH(SC), AICTS & MH (Kirkee)"
B,39-76,2027-01-04,2027-01-10,Psychiatry,"CH(SC), AICTS & MH (Kirkee)"
C,77-114,2027-01-11,2027-01-17,Psychiatry,"CH(SC), AICTS & MH (Kirkee)"
D,115+,2027-01-18,2027-01-24,Psychiatry,"CH(SC), AICTS & MH (Kirkee)"
A,1-38,2027-01-04,2027-01-10,Radiology,"CH(SC), AICTS & MH (Kirkee)"
B,39-76,2027-01-11,2027-01-17,Radiology,"CH(SC), AICTS & MH (Kirkee)"
C,77-114,2027-01-18,2027-01-24,Radiology,"CH(SC), AICTS & MH (Kirkee)"
D,115+,2026-12-28,2027-01-03,Radiology,"CH(SC), AICTS & MH (Kirkee)"
A,1-38,2027-01-11,2027-01-17,Dermatology,"CH(SC), AICTS & MH (Kirkee)"
B,39-76,2027-01-18,2027-01-24,Dermatology,"CH(SC), AICTS & MH (Kirkee)"
C,77-114,2026-12-28,2027-01-03,Dermatology,"CH(SC), AICTS & MH (Kirkee)"
D,115+,2027-01-04,2027-01-10,Dermatology,"CH(SC), AICTS & MH (Kirkee)"
A,1-38,2027-01-18,2027-01-24,Anaesthesia,ICU / HDU / Skills Lab
B,39-76,2026-12-28,2027-01-03,Anaesthesia,ICU / HDU / Skills Lab
C,77-114,2027-01-04,2027-01-10,Anaesthesia,ICU / HDU / Skills Lab
D,115+,2027-01-11,2027-01-17,Anaesthesia,ICU / HDU / Skills Lab
