Day,Time,Class,Subject,Faculty,Roll No,Location,Term
Monday,08:45 - 09:30,Theory - Management of Dengue-I,Internal Medicine,Lt Col SS Majumdar,All,NLH Atreya,VII
Monday,09:30 - 10:15,SDL - Approach to chronic diarrhea,Internal Medicine,Lt Col Kiran Maribashetti,All,NLH Atreya,VII
Monday,10:00 - 13:00,Clinics,Internal Medicine,,All,Respective Units in Command Hospital,VII
Monday,14:00 - 15:00,Tutorials - ST segment - Physiology and pathology,Internal Medicine,Maj Shivank,C,NLH,VII
Monday,15:00 - 16:00,Tutorials - Basics of Chest X-ray,Internal Medicine,Maj Abhishek Singh Chauhan,A,NLH,VII
Tuesday,10:00 - 13:00,Clinics,Internal Medicine,,All,Respective Units in Command Hospital,VII
Tuesday,14:00 - 15:00,Tutorials - Liver Function tests - I,Internal Medicine,Sqn Ldr Abhishek Kumar,B,NLH,VII
Wednesday,10:00 - 13:00,Clinics,Internal Medicine,,All,Respective Units in Command Hospital,VII
Wednesday,14:00 - 15:00,Tutorials - Basics of Chest X-ray-II,Internal Medicine,Maj Abhishek Chauhan,A,NLH,VII
Wednesday,15:00 - 16:00,Tutorials - Tachyarrhythmias - Supraventricular tachycardia,Internal Medicine,Maj Shivank,C,NLH,VII
Thursday,08:00 - 08:45,Theory - Management of Dengue-II,Internal Medicine,Lt Col SS Majumdar,All,NLH Atreya,VII
Thursday,10:00 - 13:00,Clinics,Internal Medicine,,All,Respective Units in Command Hospital,VII
Friday,08:45 - 09:30,Theory - Pathophysiology and Clinical Features of Hypothyroidism,Internal Medicine,"Wg Cdr Sandeep Kumar, VSM",All,NLH Atreya,VII
Friday,09:30 - 10:15,SDL - Management of Malaria,Internal Medicine,Lt Col Hariprasad Sirigiri,All,NLH Atreya,VII
Friday,10:00 - 13:00,Clinics,Internal Medicine,,All,Respective Units in Command Hospital,VII
Friday,14:00 - 15:00,Tutorials - Liver Function Test - II,Internal Medicine,Sqn Ldr Abhishek Kumar,B,NLH,VII
Friday,15:00 - 16:00,Tutorials - Atrial Fibrillation,Internal Medicine,Maj Shivank,C,NLH,VII
Saturday,14:00 - 15:00,Tutorials - Chest X-ray - Consolidation,Internal Medicine,Maj Abhishek Singh Chauhan,A,NLH,VII
Saturday,15:00 - 16:00,Tutorials - Hematology - Charts I,Internal Medicine,Maj Akash Dixit,B,NLH,VII
