Day,Time,Class,Subject,Faculty,Roll No,Location,Term
Monday,10:15 - 13:15,Labour room Stage II,Obstetrics and Gynaecology,MD,C,LR,VII
Monday,14:00 - 15:00,Instrumental Delivery,Obstetrics and Gynaecology,RM,A,Dept Specimen Room,VII
Monday,15:00 - 16:00,Mechanism of Labor in OP,Obstetrics and Gynaecology,AT/BKS,B,Dept Specimen Room,VII
Tuesday,08:00 - 08:45,Antepartum hemorrhage - Placenta previa,Obstetrics and Gynaecology,ARS,All,Atreya,VII
Tuesday,10:15 - 13:15,Primary/Secondary Infertility,Obstetrics and Gynaecology,MKB,C,Civ OPD,VII
Tuesday,14:00 - 15:00,Instruments used in Cesarean delivery,Obstetrics and Gynaecology,RM,C,Dept Specimen Room,VII
Wednesday,10:15 - 13:15,Caesarean/Hysterectomy,Obstetrics and Gynaecology,AS,C,OT,VII
Wednesday,14:00 - 15:00,Instrumental Delivery,Obstetrics and Gynaecology,AT/BKS,B,Dept Seminar Room,VII
Wednesday,15:00 - 16:00,Specimen: Ectopic Pregnancy & Abruptio Placenta,Obstetrics and Gynaecology,AK,A,Dept Specimen Room,VII
Thursday,08:45 - 09:30,Antepartum hemorrhage: Abruptio + Vasa Previa,Obstetrics and Gynaecology,ARS,All,Atreya,VII
Thursday,09:30 - 10:15,SDL-Fetal Surveillance in labor: CTG Basics,Obstetrics and Gynaecology,VKD,All,Atreya,VII
Thursday,10:15 - 13:15,Case of AUB,Obstetrics and Gynaecology,SA,C,Civ Maty,VII
Friday,10:15 - 13:15,EOP IA,Obstetrics and Gynaecology,RM/ARS,C,Civ Maty,VII
Friday,14:00 - 15:00,Specimen: Ectopic Pregnancy & Abruptio Placenta,Obstetrics and Gynaecology,MD,C,Dept Specimen Room,VII
Friday,15:00 - 16:00,Specimen: Anencephaly & Drugs: Nutritional supplements in pregnancy,Obstetrics and Gynaecology,SA,A,Dept Specimen Room,VII
Saturday,10:15 - 13:15,CONTRACON,Obstetrics and Gynaecology,ARS,C,Civ Maty,VII
Saturday,14:00 - 15:00,Specimen: Ectopic Pregnancy & Abruptio Placenta,Obstetrics and Gynaecology,AT/BKS,B,Dept Specimen Room,VII
Saturday,15:00 - 16:00,Specimen: Anencephaly & Drugs: Nutritional supplements in pregnancy,Obstetrics and Gynaecology,AS,C,Dept Specimen Room,VII
