Day,Time,Class,Subject,Faculty,Roll No,Location,Term
Monday,10:30 - 13:00,Clinics (B1/B2/B3),Pediatrics,Brig Vishal Vishnu Tewari / Dr Suchi Acharya,All,Paed Ward (CHSC),VII
Tuesday,10:30 - 13:00,Clinics (B1/B2/B3),Pediatrics,Lt Col Gitanjali Jain / Sqn Ldr Anjali Gautam,All,Paed Ward (CHSC),VII
Wednesday,08:45 - 09:30,Lecture - Perinatal Asphyxia (PE: 20.7),Pediatrics,Brig Vishal Vishnu Tewari,All,NLH Sushruta,VII
Wednesday,09:30 - 10:15,"SDL - Failure to Thrive (PE 2.1, 2.4)",Pediatrics,Brig Vishal Vishnu Tewari,All,NLH Sushruta,VII
Wednesday,10:30 - 13:00,Clinics (B1/B2/B3),Pediatrics,Lt Col Gorav Sharma / Sqn Ldr Anjali Gautam,All,Paed Ward (CHSC),VII
Thursday,10:30 - 13:00,Clinics (B1/B2/B3),Pediatrics,Lt Col Reema Solanki / Dr Suchi Acharya,All,Paed Ward (CHSC),VII
Thursday,14:00 - 15:00,Tutorials - Congestive Cardiac Failure (PE 23.3),Pediatrics,Col H R Ramamurthy,All,NLH Sushruta,VII
Friday,10:30 - 13:00,Clinics (B1/B2/B3),Pediatrics,Gp Capt Aradhna Aneja / Sucheta Krishna Menon,All,Paed Ward (CHSC),VII
Saturday,10:30 - 13:00,Internal assessment,Pediatrics,Dr Suchi Acharya / Lt Col Pulkit Agarwal / Lt Col Reema Solanki / Sucheta Krishna Menon,All,Paed Ward (CHSC),VII
Sunday,,,Holiday,,,,VII
