Day,Time,Class,Subject,Faculty,Roll No,Location,Term
Monday,08:00 - 08:45,SU 23.1 Adrenal Glands - Phaeochromocytoma (1/2),Surgery,Col Prashant Pathania,All,NLH,VII
Monday,10:30 - 13:00,Clinics,Surgery,Respective Unit Faculty,All,Unit 1 - OT; Unit 3 - Civ OPD; Unit 4 - OT,VII
Monday,14:00 - 15:00,Tutorial - Surgical Handicraft: Vertical mattress suturing,Surgery,Maj Raj Singh,B,SSL,VII
Monday,15:00 - 16:00,Tutorial - Surgical Handicraft: Vertical mattress suturing,Surgery,Maj Raj Singh,C,SSL,VII
Tuesday,08:45 - 09:30,SU 23.1 Adrenal Glands - Phaeochromocytoma (2/2),Surgery,Col Deepak Kumar,All,NLH,VII
Tuesday,09:30 - 10:15,SDL - Approach: Wound management,Surgery,Surg Cdr Sidharth Tyagi,All,NLH,VII
Tuesday,10:30 - 13:00,Clinics,Surgery,Respective Unit Faculty,All,Unit 1 - Service OPD; Unit 3 - OT; Unit 4 - Civ OPD,VII
Tuesday,14:00 - 15:00,Tutorial - Surgical Handicraft: Vertical mattress suturing,Surgery,Maj Dheerendra Yadav,A,SSL,VII
Wednesday,10:30 - 13:00,Clinics,Surgery,Respective Unit Faculty,All,Unit 1 - Civ OPD; Unit 3 - OT; Unit 4 - Civ Ward,VII
Wednesday,14:00 - 15:00,Tutorial - Op Steps: Below Knee Amputation,Surgery,Sqn Ldr TM Gupta,C,SSL,VII
Wednesday,15:00 - 16:00,Tutorial - Op Steps: Below Knee Amputation,Surgery,Sqn Ldr TM Gupta,B,SSL,VII
Thursday,10:30 - 13:00,Clinics,Surgery,Respective Unit Faculty,All,Unit 1 - Service OPD; Unit 3 - Civ OPD; Unit 4 - OT,VII
Friday,08:00 - 08:45,SU 27.4 Vascular Diseases - Amputation - Lower Limb,Surgery,Lt Col Brajesh Kumar,All,NLH,VII
Friday,10:30 - 13:00,Clinics,Surgery,Respective Unit Faculty,All,Unit 1 - Civ ward; Unit 3 - Service OPD; Unit 4 - Civ OPD,VII
Friday,14:00 - 15:00,Tutorial - Airway Devices - Part 2,Surgery,Respective Anaesthesia Faculty,A,Aprameya Skills Lab,VII
Friday,15:00 - 16:00,Tutorial - Airway Devices - Part 2,Surgery,Respective Anaesthesia Faculty,B,Aprameya Skills Lab,VII
Saturday,10:30 - 13:00,Clinics,Surgery,Respective Unit Faculty,All,Unit 1 - OT; Unit 3 - OT; Unit 4 - Service OPD,VII
Saturday,14:00 - 15:00,Tutorial - Airway Devices - Part 2,Surgery,Respective Anaesthesia Faculty,C,Aprameya Skills Lab,VII
Saturday,15:00 - 16:00,Tutorial - Op Steps: Below Knee Amputation,Surgery,Maj Omkar Gurav,A,SSL,VII
